policy,type,mean_expected_score,mean_realized_score,mean_realized_score_std,mean_reward,mean_coverage_fraction,mean_solved_count,mean_steps
marginal_gain_greedy,heuristic,92.6142,92.5816,4.8709,71.5742,1.0,30.0,214.34
random,heuristic,89.4936,89.5074,5.4538,68.4536,1.0,29.6,245.84
equal_time,heuristic,84.8658,84.8834,6.5843,63.8258,1.0,30.0,6060.0
high_score_first,heuristic,81.6362,81.6232,7.2275,60.5962,1.0,30.0,6060.0
index_order,heuristic,81.2251,81.195,7.3284,60.1851,1.0,30.0,6060.0
score_time_ratio,heuristic,80.5627,80.5744,7.4223,59.5227,1.0,30.0,6060.0
easy_first,heuristic,78.3939,78.3594,7.6719,57.3539,1.0,30.0,6060.0
