policy,type,mean_expected_score,mean_realized_score,mean_realized_score_std,mean_reward,mean_coverage_fraction,mean_solved_count,mean_steps
marginal_gain_greedy,heuristic,94.619,94.6,4.1958,73.579,1.0,30.0,189.5167
random,heuristic,92.4503,92.4193,4.7793,71.4103,1.0,29.8,212.6333
equal_time,heuristic,91.0947,91.0277,5.2487,70.0547,1.0,30.0,301.1667
high_score_first,heuristic,89.1402,89.1295,5.7449,68.1002,1.0,30.0,366.4167
index_order,heuristic,88.884,88.8527,5.8644,67.844,1.0,30.0,371.6667
score_time_ratio,heuristic,88.451,88.4222,5.9343,67.411,1.0,30.0,381.6667
easy_first,heuristic,86.9262,86.929,6.311,65.8862,1.0,30.0,402.3333
