policy,type,mean_expected_score,mean_realized_score,mean_realized_score_std,mean_reward,mean_coverage_fraction,mean_solved_count,mean_steps
marginal_gain_greedy,heuristic,89.1044,89.1202,5.7275,68.0644,1.0,30.0,150.96
equal_time,heuristic,84.8658,84.8834,6.5843,63.8258,1.0,30.0,176.32
high_score_first,heuristic,81.6362,81.6232,7.2275,60.5962,1.0,30.0,206.56
index_order,heuristic,81.2251,81.195,7.3284,60.1851,1.0,30.0,208.64
score_time_ratio,heuristic,80.5627,80.5744,7.4223,59.5227,1.0,30.0,212.64
easy_first,heuristic,78.3939,78.3594,7.6719,57.3539,1.0,30.0,220.92
random,heuristic,77.5583,77.529,6.4667,56.5183,1.0,25.58,162.48
