policy,type,mean_expected_score,mean_realized_score,mean_realized_score_std,mean_reward,mean_coverage_fraction,mean_solved_count,mean_steps
marginal_gain_greedy,heuristic,88.4869,88.5002,5.9065,67.4469,1.0,30.0,229.0
equal_time,heuristic,80.8866,80.8956,7.2379,59.8466,1.0,30.0,249.64
high_score_first,heuristic,78.3674,78.3626,7.6847,57.3274,1.0,30.0,261.34
score_time_ratio,heuristic,77.289,77.3088,7.8118,56.249,1.0,30.0,264.06
random,heuristic,77.1408,77.2036,6.953,56.1008,1.0,27.14,244.16
index_order,heuristic,77.054,77.029,7.8477,56.014,1.0,30.0,264.26
easy_first,heuristic,74.8113,74.7968,8.0842,53.7713,1.0,30.0,268.06
